CWE-ID,Name,Type,count
CWE-311,Missing Encryption of Sensitive Data,Class,3
CWE-321,Use of Hard-coded Cryptographic Key,Variant,3
CWE-323,"Reusing a Nonce, Key Pair in Encryption",Base,0
CWE-325,Missing Cryptographic Step,Base,0
CWE-326,Inadequate Encryption Strength,Class,2
CWE-327,Use of a Broken or Risky Cryptographic Algorithm,Class,2
CWE-328,Use of Weak Hash,Base,1
CWE-329,Not Using a Random IV with CBC Mode,Variant,0
CWE-332,Insufficient Entropy in PRNG,Variant,0
CWE-335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),Base,0
CWE-336,Same Seed in Pseudo-Random Number Generator (PRNG),Variant,0
CWE-337,Predictable Seed in Pseudo-Random Number Generator (PRNG),Variant,0
CWE-338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),Base,0
CWE-339,Small Seed Space in PRNG,Variant,0
CWE-347,Improper Verification of Cryptographic Signature,Base,8
CWE-759,Use of a One-Way Hash without a Salt,Variant,0
CWE-760,Use of a One-Way Hash with a Predictable Salt,Variant,0
CWE-780,Use of RSA Algorithm without OAEP,Variant,0
CWE-916,Use of Password Hash With Insufficient Computational Effort,Base,0
CWE-1204,Generation of Weak Initialization Vector,Base,0
CWE-1240,Use of a Cryptographic Primitive with a Risky Implementation,Base,0
CWE-1241,Use of Predictable Algorithm in RNG,Base,0
CWE-295,Improper Certificate Validation,Base,12
CWE-296,Improper Following of a Certificate's Chain of Trust,Base,1
CWE-310,Cryptographic Issues,Category,8
CWE-312,Cleartext Storage of Sensitive Information,Base,1
CWE-319,Cleartext Transmission of Sensitive Information,Base,0
CWE-322,Key Exchange without Entity Authentication,Base,0
CWE-324,Use of a Key Past its Expiration Date,Base,1
CWE-330,Use of Insufficiently Random Values,Class,6
CWE-331,Insufficient Entropy,Base,1
CWE-334,Small Space of Random Values,Base,0
CWE-340,Generation of Predictable Numbers or Identifiers,Class,0
CWE-522,Insufficiently Protected Credentials,Class,2
CWE-523,Unprotected Transport of Credentials,Base,0
CWE-757,Selection of Less-Secure Algorithm During Negotiation ('Algorithm Downgrade'),Base,0
CWE-798,Use of Hard-coded Credentials,Base,1
