ID,Misuse_Scenario,Severity,Predicate
R01,Low salt length in password hash,L,BYTE_LENGTH
R02,Too short key (e.g., 64-bit key in HMAC),L,BYTE_LENGTH
R03,Parameter with too small scale (e.g., RSA-512),L,GEQ
R04,Low iteration parameter in password hash,L,GEQ
R05,Dangerous algorithm (e.g., DES),H,Function Detector
R06,Warning algorithm (e.g., 3DES),L,Function Detector SECURE_HMAC_HASH
R07,Use predictable IO to generate parameters,M,RANDOM_IO
R08,Predictable/constant salt in password hash,L,RANDOM_BYTES
R09,Key is predictable/constant/used,H,RANDOM_BYTES
R10,IV in CBC/CFB is predictable/constant,M,RANDOM_BYTES
R11,IV in OFB/CTR/GCM is constant,M,NOT_CONST
R12,Use HTTP protocol,H,HTTPS
R13,Skip the certificate verification in TLS,H,EQ_FALSE
R14,Not verify the client in SSH,H,EQ_FALSE
R15,Using deprecated TLS suites (e.g., TLS_RSA_WITH_AES_128_CBC_SHA256),H,SECURE_TLS_SUITE
R16,Outdated signature algorithm in TLS (e.g., PKCS1WithSHA1),H,SECURE_TLS_SUITE
R17,Outdated TLS version (< tls1.2),H,SECURE_TLS_SUITE GEQ
R18,Insecure suite in SSH (e.g., diffie-hellman-group1-sha1),H,SECURE_SSH_SUITE
R19,Deprecated functions in go std library,L,Function Detector
