Post Link,Title,Score,CreationDate,ViewCount
"77921278","How do I convert from an *ecdsa.PublicKey to crypto/ecdh *ecdh.PublicKey?","2","2024-02-01 15:09:26","542"
"56203206","read entity from public/private armored key","1","2019-05-18 22:07:36","541"
"60128002","What is the alternative of crypto.subtle.exportKey in golang","0","2020-02-08 15:00:30","540"
"59521105","Github secret token verification","0","2019-12-29 16:17:36","529"
"51687749","Decoding ECDSA fails with: Exception in thread ""main"" java.security.SignatureException: error decoding signature bytes","-1","2018-08-04 16:54:44","529"
"75603088","Why verification of ECDSA 384 signature fails in GO but not in PHP?","4","2023-03-01 11:28:36","522"
"54492518","aes.NewCipher returns a valid block, but I get an error when calling block.BlockSize()","-1","2019-02-02 11:17:17","502"
"52791982","AES-CFB implementation incongruences between CSharp and Golang","0","2018-10-13 10:32:20","468"
"59911836","How to generate an oidc state without any storage?","1","2020-01-25 17:45:07","436"
"74404390","Decrypting SubtleCrypto AES-GCM encoded string with Go","1","2022-11-11 15:01:01","421"
"78553309","How to Generate Dilithium Keys with `liboqs-go` and Convert Them to PEM Format for OpenSSL","0","2024-05-30 06:47:56","408"
"77562175","Go aes gcm encryption got error when it's decrypted","3","2023-11-28 08:05:32","408"
"78003086","Avoid writing secrets in Terraform state, in a custom provider","0","2024-02-15 18:17:14","401"
"58850884","Safely zeroing buffers after working with crypto/*","6","2019-11-14 06:45:09","372"
"76481116","My private key generated in Node.js is not recognized as PEM format in Go","1","2023-06-15 09:34:01","363"
"77617176","Can't verify Go generated ECDSA signature with JS","4","2023-12-07 01:25:49","355"
"72375503","Authorization string is not same when generate with golang and JS","0","2022-05-25 09:56:48","354"
"56883435","java RSA/ECB/OAEPWithSHA 256AndMGF1Padding equivalent in golang","0","2019-07-04 08:11:13","345"
"51791869","Huge persisting memory allocation with go-ethereum `bind.NewTransactor()`?","-1","2018-08-10 18:03:49","337"
"60931087","Why ""out"" is needed in golang.org/x/crypto/nacl/box","2","2020-03-30 13:00:00","335"
"62608844","Why is Php pbkdf2 output is coming out different from golang?","2","2020-06-27 10:36:07","327"
"61316284","Golang decrypt array Byte Xtea ECB algorithm","1","2020-04-20 06:25:11","322"
"78560707","Go HMAC SHA256 Webhook Signature Validation Not Working as Expected","2","2024-05-31 14:40:40","313"
"77660270","Create a CSR with OU separated by comma instead of plus character","1","2023-12-14 12:48:47","310"
"67661276","how do I properly sign a bitclout tx in golang vs typescript?","0","2021-05-23 15:12:43","297"
"64444947","RSA signed message in java failed verifying","0","2020-10-20 12:15:17","273"
"69737820","Secp256k1 Public key generated with Azure Key Vault is of 43 characters","0","2021-10-27 11:27:57","262"
"75749088","crypto/elliptic: attempted operation on invalid point","1","2023-03-15 19:06:55","261"
"76871293","RC2 decryption from wincrypt API to Go","2","2023-08-09 21:10:06","260"
"54055272","How to calculate `x^3 + ax + b mod p` with Golang big.Int","1","2019-01-05 19:04:34","253"
"57529040","How to port this Cryptography-related code from Go to Python","0","2019-08-16 17:48:16","251"
"54100529","Using crypto/ssh with agent authentication, while falling back to encrypted key authentication","3","2019-01-08 22:17:11","234"
"49965280","How does middle rounds of AES encryption work in Go runtime?","1","2018-04-22 11:14:30","225"
"77838650","Decrypted value consists of unwanted characters in Go","-2","2024-01-18 10:28:40","221"
"77492544","RSA-SHA256 with PSS padding invalid signature error on json data types but work on simple string (go lang againt python)","1","2023-11-16 05:42:53","220"
"65753990","How to fetch exponent and modulus in Little Endian format from a byte array of RSA public key","2","2021-01-16 19:49:38","217"
"77245039","tpm2.LoadExternal() throws error code 0x16 : unsupported symmetric algorithm or key size, or not appropriate for instance Error","1","2023-10-06 13:54:01","212"
"78580846","Aligning Key Sizes Between OpenSSL and liboqs-go for Signature Verification in Go","2","2024-06-05 12:02:47","179"
"71255452","Convert Kyber.Point to Byte or Extract Byte from Using Kyber.Point","-1","2022-02-24 16:49:10","172"
"77718056","how to verify a PSS signature with a non-matching MGF1 / Hash?","0","2023-12-26 15:54:33","168"
"77639585","Memory Alloc Space / Leak Problem in Golang","0","2023-12-11 12:28:59","165"
"78930992","C# - AES-GCM decryption will null IV","2","2024-08-30 07:58:25","156"
"68563863","Why does the golang nacl box and sign packages use different key lengths?","0","2021-07-28 16:08:59","155"
"78594335","c# Digital signature generation and verification","2","2024-06-07 23:40:31","150"
"68958343","Confused about why hashsum, encode, print is different then write, hashum, encode, print in Go?","-1","2021-08-27 19:13:22","112"
"78547843","Go - How to test a siphash 2-4 function with known vectors","1","2024-05-29 07:05:36","106"
"78217457","Node.js AES decryption code converted to Golang throws key size error","0","2024-03-25 07:03:24","94"
"79091847","How to make my go function decrypt information encrypted by c# function?","0","2024-10-15 21:48:41","86"
"52435995","The idemix part of the hyperleger fabric contains two methods, NewNymSignature and NewSignature. What is the difference?","1","2018-09-21 02:59:42","82"
"66734922","Calculate shares of a secret (LSS) in GO","0","2021-03-21 16:39:16","80"
"79242354","AES-GCM-256 partial decryption","0","2024-12-01 19:38:59","76"
"78225960","Hash password with another password","0","2024-03-26 14:13:36","68"
"71428500","Adding a Required Attribute to a Signature","1","2022-03-10 17:39:08","65"
"63373653","Should I make a validation for user's Key Pairs generated by RSA package that the key pairs is unique(other users doesn't have the same key pairs)?","0","2020-08-12 09:27:42","61"
"77855186","Trying to use OQS-OpenSSL_1_1_1 in Golang","1","2024-01-21 14:20:44","55"
"79096841","How to convert public EC key to PGP public key","1","2024-10-17 06:54:11","50"
"78208156","Is it possible to decrease the number of sign operations for a tls client certificate?","0","2024-03-22 18:12:59","49"
"78635856","Failed to extract key generated by google's certtostore golang library in Windows","0","2024-06-18 06:45:25","41"
